総数,1519562,903692,615870
東海道本線,500871,281585,219286
東淀川,8005,4648,3357
新大阪,44154,24023,20131
大阪,430956,241777,189179
塚本,17756,11137,6619
大阪環状線,607389,371930,235459
福島,24126,14873,9253
野田,12403,7769,4634
西九条,24838,15261,9577
弁天町,35375,22443,12932
大正,25234,15189,10045
芦原橋,7260,4662,2598
新今宮,72493,46657,25836
寺田町,17948,10482,7466
桃谷,19630,12132,7498
鶴橋,123206,77881,45325
玉造,17059,11737,5322
森ノ宮,29224,18020,11204
大阪城公園,13183,6112,7071
京橋,142874,86031,56843
桜ノ宮,18815,11206,7609
天満,23721,11475,12246
桜島線,37155,17383,19772
安治川口,10257,8589,1668
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,18769,2579,16190
桜島,8129,6215,1914
片町線,21400,14129,7271
鴫野,8929,5695,3234
放出,12471,8434,4037
関西本線,216099,129091,87008
ＪＲ難波,28247,17121,11126
今宮,3040,1682,1358
天王寺,155365,90768,64597
東部市場前,6620,4252,2368
平野,11862,7579,4283
加美,10965,7689,3276
阪和線,35495,23331,12164
美章園,5684,3844,1840
南田辺,4890,3095,1795
鶴ケ丘,4401,2716,1685
長居,5252,2985,2267
我孫子町,6323,3928,2395
杉本町,8945,6763,2182
東西線,101153,66243,34910
大阪城北詰,4261,2502,1759
大阪天満宮,21053,14033,7020
北新地,44351,28867,15484
新福島,7061,4401,2660
海老江,9070,5856,3214
御幣島,8880,6131,2749
加島,6477,4453,2024
