総数,1498806,873971,624832
東海道本線,513218,272429,240789
東淀川,8167,5056,3111
新大阪,55756,29170,26586
大阪,431743,226384,205359
塚本,17552,11819,5733
大阪環状線,548951,333644,215307
福島,26905,15099,11806
野田,11823,7342,4481
西九条,28217,16075,12141
弁天町,32256,20267,11989
大正,23592,13744,9848
芦原橋,5441,3896,1545
新今宮,63292,39986,23306
寺田町,16579,10591,5988
桃谷,17605,11415,6190
鶴橋,97240,60784,36456
玉造,16445,11214,5231
森ノ宮,25422,14845,10577
大阪城公園,11537,4758,6779
京橋,130765,81023,49742
桜ノ宮,17116,10999,6117
天満,24716,11606,13111
桜島線,52209,22673,29536
安治川口,12248,10149,2099
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,29135,4978,24157
桜島,10826,7546,3280
片町線,25576,17720,7856
鴫野,9461,6507,2954
放出,16115,11213,4902
関西本線,201145,118402,82743
ＪＲ難波,25459,14182,11276
今宮,4483,2802,1682
天王寺,143202,82044,61158
東部市場前,7508,5280,2228
平野,11639,7732,3907
加美,8854,6362,2492
阪和線,36428,25429,10999
美章園,5362,3815,1547
南田辺,4509,2992,1517
鶴ケ丘,5243,3325,1918
長居,5499,3457,2042
我孫子町,6559,4664,1895
杉本町,9256,7176,2080
東西線,119177,82262,36911
大阪城北詰,4311,2601,1709
大阪天満宮,24025,16218,7807
北新地,49248,34216,15031
新福島,9368,6200,3167
海老江,11035,7683,3352
御幣島,12620,9136,3484
加島,8570,6208,2361
おおさか東線,2102,1412,691
新加美,2102,1412,691
