総数,1465516,888697,576827
東海道本線,494890,277465,217425
東淀川,7986,4964,3022
新大阪,47365,27863,19502
大阪,422429,233298,189130
塚本,17110,11340,5771
大阪環状線,559355,349666,209691
福島,23450,13934,9517
野田,11821,7506,4315
西九条,24556,15601,8955
弁天町,34538,22529,12009
大正,23732,14706,9026
芦原橋,6139,4336,1803
新今宮,66234,43066,23168
寺田町,15952,9860,6092
桃谷,17731,11309,6422
鶴橋,105724,67765,37960
玉造,16588,11766,4822
森ノ宮,25940,16329,9611
大阪城公園,11708,5613,6096
京橋,135158,83100,52057
桜ノ宮,17185,10925,6260
天満,22899,11321,11578
桜島線,35855,19829,16026
安治川口,12169,10224,1945
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,16265,4180,12084
桜島,7421,5425,1997
片町線,24051,16370,7683
鴫野,8827,5922,2906
放出,15224,10448,4777
関西本線,198711,121332,77381
ＪＲ難波,27299,16331,10968
今宮,4229,2665,1564
天王寺,139279,83290,55989
東部市場前,6947,4807,2140
平野,11500,7439,4062
加美,9457,6800,2658
阪和線,34875,24013,10865
美章園,4773,3323,1451
南田辺,4546,2970,1576
鶴ケ丘,4909,3233,1676
長居,5279,3252,2028
我孫子町,6289,4117,2173
杉本町,9079,7118,1961
東西線,116477,79245,37231
大阪城北詰,4340,2677,1663
大阪天満宮,23690,16039,7651
北新地,50482,34255,16227
新福島,8746,5800,2946
海老江,10666,7239,3427
御幣島,11056,7925,3131
加島,7497,5310,2186
おおさか東線,1302,777,525
新加美,1302,777,525
