総数,1466426,867905,598520
東海道本線,506292,271255,235037
東淀川,8121,5035,3086
新大阪,51720,28202,23518
大阪,429519,226571,202948
塚本,16932,11447,5485
大阪環状線,538071,332083,205986
福島,25045,14334,10711
野田,11790,7460,4330
西九条,25486,15386,10099
弁天町,32284,20462,11822
大正,22297,13433,8864
芦原橋,5455,3896,1559
新今宮,62441,40179,22262
寺田町,16512,10521,5991
桃谷,17797,11579,6218
鶴橋,96317,60691,35626
玉造,16203,11098,5105
森ノ宮,23695,14456,9239
大阪城公園,11210,4754,6456
京橋,130931,81820,49111
桜ノ宮,16782,10683,6098
天満,23826,11331,12495
桜島線,43505,21555,21951
安治川口,12598,10579,2019
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,21959,4682,17277
桜島,8948,6294,2655
片町線,25204,17563,7642
鴫野,9109,6269,2840
放出,16095,11294,4802
関西本線,198120,117858,80261
ＪＲ難波,26334,14971,11363
今宮,4394,2778,1616
天王寺,139138,80601,58537
東部市場前,7231,5082,2148
平野,11824,7797,4027
加美,9199,6629,2570
阪和線,36183,25354,10829
美章園,5145,3668,1477
南田辺,4561,3035,1526
鶴ケ丘,5079,3271,1809
長居,5448,3480,1968
我孫子町,6755,4731,2023
杉本町,9195,7169,2026
東西線,117054,80893,36161
大阪城北詰,4114,2567,1547
大阪天満宮,23540,15973,7567
北新地,49047,34135,14912
新福島,8966,6017,2949
海老江,11073,7688,3385
御幣島,12182,8703,3479
加島,8132,5810,2322
おおさか東線,1997,1344,653
新加美,1997,1344,653
