総数,1465104,860486,604619
東海道本線,501933,268447,233488
東淀川,8026,4966,3061
新大阪,53150,28241,24910
大阪,423758,223741,200017
塚本,16999,11499,5500
大阪環状線,537066,329095,207972
福島,25623,14517,11106
野田,11633,7350,4283
西九条,26355,15389,10967
弁天町,31692,20092,11600
大正,22891,13429,9462
芦原橋,5354,3826,1528
新今宮,62143,39796,22347
寺田町,16362,10506,5856
桃谷,17312,11206,6106
鶴橋,95698,60078,35620
玉造,16101,11002,5099
森ノ宮,23742,14242,9500
大阪城公園,11587,4766,6821
京橋,129700,80779,48921
桜ノ宮,16767,10762,6005
天満,24106,11355,12751
桜島線,48300,21904,26396
安治川口,12136,10154,1982
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,26105,4744,21361
桜島,10059,7006,3053
片町線,24945,17298,7647
鴫野,9134,6262,2872
放出,15811,11036,4775
関西本線,199135,117083,82051
ＪＲ難波,25532,14380,11152
今宮,4364,2774,1589
天王寺,141463,80709,60753
東部市場前,7354,5181,2173
平野,11606,7686,3921
加美,8816,6353,2463
阪和線,35606,24967,10639
美章園,5227,3725,1502
南田辺,4425,2920,1505
鶴ケ丘,5093,3295,1798
長居,5382,3425,1957
我孫子町,6511,4587,1924
杉本町,8968,7015,1953
東西線,116107,80327,35779
大阪城北詰,4146,2533,1613
大阪天満宮,23552,15918,7634
北新地,48049,33461,14588
新福島,9014,5982,3032
海老江,10930,7681,3248
御幣島,12144,8767,3377
加島,8272,5985,2287
おおさか東線,2012,1365,647
新加美,2012,1365,647
