総数,1404850,860630,544220
東海道本線,472200,268431,203769
東淀川,7821,4865,2956
新大阪,46187,27205,18982
大阪,401486,225260,176226
塚本,16706,11101,5605
大阪環状線,531427,334488,196939
福島,22715,13322,9393
野田,11300,7258,4042
西九条,22892,14267,8625
弁天町,32823,21603,11220
大正,20969,13599,7371
芦原橋,5911,4157,1754
新今宮,63250,41616,21634
寺田町,15400,9660,5740
桃谷,17382,11208,6174
鶴橋,96662,62512,34150
玉造,16152,11549,4602
森ノ宮,24078,15317,8761
大阪城公園,11545,5532,6013
京橋,130987,81034,49953
桜ノ宮,16898,10771,6127
天満,22463,11083,11380
桜島線,34917,19971,14946
安治川口,12068,10207,1861
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,15452,4310,11142
桜島,7397,5454,1943
片町線,23864,16413,7451
鴫野,8786,5961,2825
放出,15078,10452,4626
関西本線,191894,118206,73688
ＪＲ難波,26664,15793,10871
今宮,4268,2717,1551
天王寺,133741,81008,52733
東部市場前,6907,4803,2104
平野,11187,7316,3871
加美,9127,6569,2558
阪和線,34780,24016,10764
美章園,4805,3349,1456
南田辺,4539,3014,1525
鶴ケ丘,4905,3218,1687
長居,5236,3219,2017
我孫子町,6331,4180,2151
杉本町,8964,7036,1928
東西線,114253,78133,36120
大阪城北詰,4280,2664,1616
大阪天満宮,23167,15762,7405
北新地,49210,33666,15544
新福島,8541,5666,2875
海老江,10594,7239,3355
御幣島,11111,7959,3152
加島,7350,5177,2173
おおさか東線,1515,972,543
新加美,1515,972,543
