総数,1516759,880105,636651
東海道本線,516049,274083,241966
東淀川,8262,5158,3104
新大阪,58487,30453,28034
大阪,431543,226555,204988
塚本,17757,11917,5840
大阪環状線,558411,336250,222158
福島,28456,15529,12927
野田,12050,7443,4607
西九条,29535,16428,13107
弁天町,32660,20311,12348
大正,23838,13779,10058
芦原橋,5514,3956,1558
新今宮,64614,40396,24218
寺田町,16731,10687,6044
桃谷,17696,11465,6231
鶴橋,98201,61019,37182
玉造,16588,11179,5409
森ノ宮,25759,15003,10755
大阪城公園,12246,4782,7464
京橋,131880,81547,50334
桜ノ宮,17165,10935,6229
天満,25478,11791,13687
桜島線,54938,23074,31864
安治川口,12361,10166,2195
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,31305,5145,26160
桜島,11272,7763,3509
片町線,25767,17891,7876
鴫野,9617,6631,2986
放出,16150,11260,4890
関西本線,202641,118944,83698
ＪＲ難波,24913,13791,11123
今宮,4520,2773,1747
天王寺,145100,82922,62178
東部市場前,7640,5388,2253
平野,11457,7651,3806
加美,9011,6419,2591
阪和線,35851,25057,10793
美章園,5365,3842,1523
南田辺,4414,2922,1492
鶴ケ丘,4961,3084,1878
長居,5420,3441,1978
我孫子町,6446,4574,1872
杉本町,9245,7194,2050
東西線,120954,83349,37604
大阪城北詰,4479,2666,1813
大阪天満宮,24289,16358,7931
北新地,49702,34492,15210
新福島,9787,6403,3384
海老江,11071,7689,3381
御幣島,12880,9356,3524
加島,8746,6385,2361
おおさか東線,2148,1457,692
新加美,2148,1457,692
