総数,1488135,893128,595009
東海道本線,495851,281343,214508
東淀川,8059,4803,3256
新大阪,44919,25679,19239
大阪,425876,240172,185704
塚本,16997,10689,6309
大阪環状線,584940,360105,224838
福島,23636,14298,9339
野田,11965,7480,4485
西九条,23603,14470,9133
弁天町,33450,21373,12077
大正,23546,14657,8889
芦原橋,6611,4320,2291
新今宮,69038,44566,24472
寺田町,17115,10034,7081
桃谷,18776,11668,7109
鶴橋,118136,75019,43118
玉造,16869,11717,5152
森ノ宮,28265,17575,10690
大阪城公園,12482,5836,6646
京橋,139577,84594,54983
桜ノ宮,18573,11184,7389
天満,23298,11314,11984
桜島線,34935,17819,17115
安治川口,10720,8869,1850
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,16748,3283,13465
桜島,7467,5667,1800
片町線,21885,14586,7298
鴫野,8739,5670,3068
放出,13146,8916,4230
関西本線,209802,125742,84061
ＪＲ難波,28725,17148,11578
今宮,3525,2076,1449
天王寺,148303,87126,61177
東部市場前,6655,4335,2320
平野,11861,7556,4305
加美,10733,7501,3232
阪和線,34829,23169,11659
美章園,5225,3548,1677
南田辺,4647,2943,1703
鶴ケ丘,4581,2889,1692
長居,5434,3221,2213
我孫子町,6288,3983,2305
杉本町,8654,6585,2069
東西線,105893,70364,35530
大阪城北詰,4189,2465,1724
大阪天満宮,21788,14689,7099
北新地,46124,30336,15789
新福島,7502,4821,2681
海老江,9474,6235,3239
御幣島,9670,6825,2845
加島,7146,4993,2153
