総数,1478124,897334,580787
東海道本線,494952,280843,214108
東淀川,8147,4925,3222
新大阪,46437,27326,19111
大阪,423454,237654,185800
塚本,16914,10938,5975
大阪環状線,574255,357389,216866
福島,23575,14027,9548
野田,11896,7512,4384
西九条,23723,14878,8845
弁天町,33489,21600,11888
大正,23320,14668,8651
芦原橋,6401,4368,2033
新今宮,67535,43875,23660
寺田町,16670,9931,6739
桃谷,18109,11385,6724
鶴橋,113275,72774,40501
玉造,16853,11840,5013
森ノ宮,28318,17641,10677
大阪城公園,12184,5728,6456
京橋,138091,84891,53200
桜ノ宮,17894,11045,6850
天満,22922,11226,11697
桜島線,34092,18494,15598
安治川口,11531,9645,1887
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,15405,3687,11717
桜島,7156,5162,1994
片町線,22562,15414,7148
鴫野,8307,5531,2776
放出,14255,9883,4372
関西本線,205384,125213,80170
ＪＲ難波,28414,17172,11242
今宮,3989,2425,1564
天王寺,143615,85653,57962
東部市場前,7014,4803,2211
平野,11831,7672,4159
加美,10521,7488,3032
阪和線,34426,23439,10987
美章園,4842,3330,1512
南田辺,4481,2893,1588
鶴ケ丘,4745,3085,1660
長居,5187,3146,2041
我孫子町,6237,4083,2154
杉本町,8934,6902,2032
東西線,112453,76542,35910
大阪城北詰,4272,2577,1694
大阪天満宮,22944,15614,7330
北新地,48972,33216,15756
新福島,8094,5366,2728
海老江,10230,6912,3318
御幣島,10580,7602,2978
加島,7361,5255,2106
