総数,1391413,851929,539481
東海道本線,466589,263874,202713
東淀川,7853,4893,2960
新大阪,47674,27312,20362
大阪,394503,220602,173900
塚本,16559,11067,5491
大阪環状線,523830,330006,193825
福島,22777,13289,9488
野田,11457,7366,4091
西九条,22920,14280,8640
弁天町,32296,21208,11088
大正,20299,13175,7125
芦原橋,5431,3953,1478
新今宮,62200,41076,21124
寺田町,15540,9723,5817
桃谷,17107,10970,6137
鶴橋,94407,60751,33656
玉造,16071,11332,4739
森ノ宮,23582,14929,8653
大阪城公園,10667,5308,5359
京橋,130359,81146,49213
桜ノ宮,16378,10510,5868
天満,22339,10990,11349
桜島線,35595,20302,15293
安治川口,12015,10186,1829
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,15971,4512,11459
桜島,7609,5604,2005
片町線,23996,16569,7427
鴫野,8824,6023,2801
放出,15172,10546,4626
関西本線,190665,116935,73728
ＪＲ難波,26810,15685,11125
今宮,4317,2751,1566
天王寺,132066,79664,52401
東部市場前,6949,4833,2116
平野,11377,7418,3959
加美,9146,6584,2561
阪和線,35205,24423,10782
美章園,4784,3415,1369
南田辺,4513,2983,1530
鶴ケ丘,4982,3227,1755
長居,5311,3223,2088
我孫子町,6662,4526,2136
杉本町,8953,7049,1904
東西線,113828,78671,35158
大阪城北詰,4267,2686,1581
大阪天満宮,23282,15873,7408
北新地,47842,33444,14399
新福島,8755,5844,2911
海老江,10837,7416,3421
御幣島,11337,8104,3234
加島,7508,5304,2204
おおさか東線,1705,1149,555
新加美,1705,1149,555
