総数,1428664,851658,577003
東海道本線,488124,264787,223335
東淀川,8088,4991,3097
新大阪,49839,27410,22429
大阪,413614,221325,192288
塚本,16583,11061,5521
大阪環状線,529729,327388,202341
福島,24053,13679,10374
野田,11843,7572,4271
西九条,24329,14871,9458
弁天町,31960,20556,11404
大正,21569,13103,8466
芦原橋,5366,3872,1494
新今宮,61925,40139,21787
寺田町,15952,10044,5907
桃谷,17683,11436,6247
鶴橋,94636,59631,35006
玉造,16039,10940,5099
森ノ宮,23293,14176,9118
大阪城公園,11068,4939,6129
京橋,130045,80781,49264
桜ノ宮,16636,10528,6107
天満,23332,11121,12210
桜島線,40457,20849,19609
安治川口,12320,10333,1987
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,19866,4580,15287
桜島,8271,5936,2335
片町線,24659,17048,7611
鴫野,8909,6082,2827
放出,15750,10966,4784
関西本線,192415,115550,76864
ＪＲ難波,26348,15074,11274
今宮,4279,2707,1572
天王寺,134028,78741,55287
東部市場前,7043,4904,2139
平野,11548,7552,3995
加美,9169,6572,2597
阪和線,35730,24976,10754
美章園,4842,3470,1372
南田辺,4558,3051,1507
鶴ケ丘,4942,3183,1759
長居,5452,3448,2004
我孫子町,7015,4860,2155
杉本町,8921,6964,1957
東西線,115613,79744,35868
大阪城北詰,4224,2623,1600
大阪天満宮,23363,15802,7561
北新地,48016,33490,14526
新福島,8952,5981,2971
海老江,11083,7610,3473
御幣島,11952,8532,3420
加島,8023,5706,2317
おおさか東線,1937,1316,621
新加美,1937,1316,621
