総数,1477908,891152,586754
東海道本線,489256,279649,209606
東淀川,7949,4677,3271
新大阪,44509,25086,19423
大阪,419770,239208,180562
塚本,17028,10678,6350
大阪環状線,588175,362587,225589
福島,23737,14605,9132
野田,12066,7560,4506
西九条,23669,14651,9018
弁天町,34129,21716,12414
大正,24084,14788,9296
芦原橋,6796,4427,2369
新今宮,69509,45117,24392
寺田町,17281,10109,7172
桃谷,18916,11778,7138
鶴橋,118949,75448,43501
玉造,16741,11581,5160
森ノ宮,28451,17634,10817
大阪城公園,12583,6044,6539
京橋,139496,84730,54766
桜ノ宮,18464,11136,7328
天満,23304,11263,12041
桜島線,31904,17715,14189
安治川口,10244,8532,1712
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,13801,3157,10644
桜島,7859,6026,1833
片町線,21183,14052,7130
鴫野,8713,5596,3116
放出,12470,8456,4014
関西本線,210298,126483,83815
ＪＲ難波,28325,17097,11228
今宮,3199,1799,1400
天王寺,149738,88269,61469
東部市場前,6634,4323,2311
平野,11721,7518,4203
加美,10681,7477,3204
阪和線,34525,22909,11616
美章園,5293,3576,1717
南田辺,4748,3028,1719
鶴ケ丘,4331,2720,1611
長居,5238,3101,2138
我孫子町,6223,3905,2318
杉本町,8692,6579,2113
東西線,102567,67757,34809
大阪城北詰,4142,2439,1704
大阪天満宮,21197,14269,6928
北新地,44884,29410,15474
新福島,7201,4581,2620
海老江,9174,5957,3217
御幣島,9270,6455,2814
加島,6699,4646,2052
