総数,1413603,851488,562120
東海道本線,479477,263913,215564
東淀川,7962,4948,3014
新大阪,48407,27173,21234
大阪,406576,220755,185821
塚本,16532,11037,5495
大阪環状線,526587,328040,198551
福島,23248,13425,9824
野田,11865,7599,4266
西九条,23491,14559,8932
弁天町,32464,21239,11226
大正,21242,13149,8093
芦原橋,5356,3875,1481
新今宮,61878,40493,21385
寺田町,15665,9851,5814
桃谷,16981,10826,6156
鶴橋,94613,60037,34577
玉造,16034,10965,5069
森ノ宮,23299,14467,8833
大阪城公園,10975,5121,5854
京橋,130355,80931,49424
桜ノ宮,16231,10369,5861
天満,22890,11134,11756
桜島線,37972,20530,17442
安治川口,12075,10191,1885
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,17951,4569,13382
桜島,7946,5770,2175
片町線,24360,16872,7489
鴫野,8864,6055,2810
放出,15496,10817,4679
関西本線,193220,116653,76568
ＪＲ難波,26426,15527,10899
今宮,4309,2722,1587
天王寺,134728,79322,55406
東部市場前,7089,4962,2128
平野,11572,7592,3980
加美,9096,6528,2568
阪和線,35697,24876,10821
美章園,4824,3449,1375
南田辺,4600,3050,1550
鶴ケ丘,5020,3255,1765
長居,5353,3329,2024
我孫子町,6962,4787,2175
杉本町,8938,7006,1932
東西線,114427,79333,35094
大阪城北詰,4200,2645,1555
大阪天満宮,23131,15736,7395
北新地,47713,33485,14228
新福島,8932,6007,2924
海老江,10999,7580,3419
御幣島,11673,8366,3307
加島,7779,5514,2266
おおさか東線,1863,1271,591
新加美,1863,1271,591
